lemon_juice_ml,sugar_g,fizziness,rating
38.73,31.14,2.83,6.8
67.54,28.71,4.59,8.27
56.6,20.8,0.99,5.87
49.93,27.19,4.47,8.14
27.8,21.43,2.03,5.22
27.8,34.61,2.78,6.55
22.9,42.58,4.78,7.19
63.31,40.41,8.86,10.0
50.06,20.33,5.78,8.43
55.4,27.92,0.18,6.72
21.03,5.48,1.44,4.25
68.5,44.16,0.63,8.0
61.62,16.04,1.86,6.38
30.62,24.85,3.44,5.79
29.09,11.86,1.75,3.97
29.17,35.51,4.62,8.32
35.21,29.54,8.24,9.52
46.24,21.42,8.26,9.21
41.6,29.08,3.4,6.56
34.56,12.59,3.27,6.02
50.59,39.9,7.46,10.0
26.97,16.97,4.15,6.56
34.61,32.68,9.7,10.0
38.32,45.47,4.45,8.96
42.8,6.74,2.43,5.24
59.26,22.44,0.1,5.54
29.98,11.07,9.54,8.75
45.71,45.89,1.19,6.88
49.62,21.2,1.75,6.24
22.32,14.6,0.38,3.36
50.38,35.44,4.65,8.43
28.53,29.44,4.08,7.26
23.25,41.76,8.16,10.0
67.44,38.89,5.55,9.91
68.28,48.86,5.82,10.0
60.42,9.07,7.9,8.94
35.23,8.61,5.83,7.18
24.88,45.83,5.65,8.56
54.21,48.01,9.29,10.0
42.01,23.3,4.37,6.87
26.1,25.51,6.34,7.34
44.76,21.59,3.84,7.1
21.72,40.0,6.51,8.71
65.47,39.69,0.1,6.73
32.94,14.92,7.27,7.97
53.13,22.28,7.82,9.03
35.59,14.56,8.77,8.55
46.0,7.1,5.0,7.04
47.34,7.53,2.86,5.87
29.24,11.61,7.3,6.89
68.48,6.34,9.49,10.0
58.76,24.04,7.7,9.52
66.97,7.88,9.11,9.04
64.74,43.13,1.19,7.97
49.89,37.04,9.24,10.0
66.09,40.26,7.11,10.0
24.42,32.79,8.22,9.02
29.8,34.87,4.21,7.93
22.26,10.1,5.7,6.58
36.27,7.62,6.13,7.7
39.43,49.51,5.19,9.31
33.57,21.78,0.97,5.22
61.44,7.31,2.32,6.62
37.84,12.18,1.4,4.64
34.05,44.34,8.28,10.0
47.13,14.26,3.73,6.91
27.05,26.02,2.88,6.14
60.11,35.04,2.18,7.99
23.73,48.46,7.02,9.4
69.34,5.63,5.2,8.05
58.61,26.94,5.92,8.6
29.94,49.82,7.56,9.93
20.28,10.48,9.7,8.02
60.77,10.57,7.41,8.59
55.34,8.92,9.71,8.87
56.45,27.85,6.98,9.23
58.56,20.68,6.77,9.21
23.7,37.23,1.44,5.44
37.92,30.71,0.93,5.27
25.79,31.14,0.24,4.72
63.16,28.0,6.94,9.09
51.16,49.64,6.49,10.0
36.54,29.26,6.31,8.2
23.18,8.26,6.25,7.04
35.55,19.5,6.88,8.13
36.26,40.13,8.36,10.0
56.48,33.28,7.26,9.73
51.88,35.78,5.99,8.9
64.36,46.48,2.18,7.64
43.61,24.97,7.67,9.03
25.98,5.88,2.5,4.6
55.66,49.55,6.8,10.0
58.04,25.46,1.35,6.53
48.06,9.39,5.1,6.99
58.55,29.69,6.33,9.37
44.69,31.56,8.15,9.89
46.14,30.4,7.03,9.01
41.38,48.42,8.06,10.0
21.27,19.38,8.55,8.13
25.39,6.55,8.77,7.22
21.57,46.39,8.81,9.85
51.82,13.61,2.64,6.36
35.72,38.73,8.08,10.0
45.43,14.18,0.17,5.33
65.38,42.3,9.36,10.0
32.46,45.79,1.86,6.97
40.52,9.74,8.84,8.12
57.78,11.63,8.04,9.38
31.44,46.64,3.9,8.84
23.85,39.68,9.63,9.99
34.49,6.75,0.94,4.19
28.06,13.2,2.91,5.49
66.48,23.54,2.53,6.99
60.41,43.89,0.08,6.96
51.67,11.8,1.65,5.73
63.57,37.59,7.94,10.0
60.18,8.77,8.32,8.67
29.33,26.02,7.45,8.1
64.63,37.8,5.48,9.62
46.97,7.91,6.32,7.31
60.37,14.19,5.82,7.93
64.8,40.63,2.52,8.06
35.9,12.36,3.85,5.69
25.5,35.04,8.18,9.54
31.4,33.9,0.94,5.5
41.36,28.42,0.39,5.67
60.9,14.08,6.88,7.75
63.04,23.76,8.38,10.0
20.35,32.98,6.17,7.28
45.54,44.68,7.62,10.0
40.87,40.9,9.77,10.0
31.11,32.33,6.31,8.2
25.99,15.28,4.44,6.08
36.88,14.75,9.93,8.83
67.15,41.62,6.29,10.0
36.16,34.9,1.77,6.12
45.94,21.11,6.85,8.73
55.15,48.72,7.43,10.0
38.18,45.04,0.11,6.55
68.59,35.22,4.33,8.91
68.12,21.62,9.46,10.0
32.59,18.89,8.16,8.51
44.86,47.27,2.05,8.68
35.04,24.96,3.05,6.46
34.24,41.0,6.6,9.39
21.84,47.29,9.13,10.0
50.48,27.14,8.78,9.78
45.13,34.39,2.43,6.01
22.57,8.88,6.81,7.43
33.93,34.37,5.64,8.62
65.41,14.68,3.76,7.54
31.98,35.17,3.01,7.93
27.24,9.55,4.98,6.71
44.47,27.28,5.68,7.75
69.28,28.45,8.99,10.0
32.1,26.76,7.49,8.94
53.61,39.05,0.6,7.18
58.08,38.95,1.77,7.63
31.88,36.79,2.38,6.53
56.41,33.42,2.06,6.85
38.39,45.7,2.96,8.05
51.62,30.9,4.06,8.01
51.68,20.67,0.17,4.95
46.79,7.66,0.68,5.32
24.51,29.11,6.62,8.21
61.77,15.25,6.01,9.02
36.04,22.41,8.76,8.86
29.33,7.25,9.55,8.34
22.04,33.84,7.32,7.96
49.54,44.9,3.95,8.24
53.88,19.63,7.44,8.89
20.83,41.22,5.79,8.83
45.6,10.68,9.43,8.84
31.32,37.54,9.04,10.0
52.26,8.59,8.4,7.94
28.72,16.64,6.5,6.81
54.55,21.21,1.71,7.24
39.34,12.06,7.7,8.32
